Project,NewC,DSN size,DSN density,DSN bridges,Avg_degree_centrality,,,,,,,,,,,,,,,,,,,,,,,,,sponsor,size,experience
webpack,14.94444444,1014,0.000112727,166,0.021066541,,,,,,,,,,,,,,,,,,,,,,,,,0,27,1283.06676
jedi,100.0833333,151,0.002362956,38,0.005745019,,,,,,,,,,,,,,,,,,,,,,,,,1,40,813.0136205
hyperapp,30.02777778,279,0.000184835,21,0.044651524,,,,,,,,,,,,,,,,,,,,,,,,,1,21,1779.0866
laravel-ide-helper,9.916666667,246,0.000947758,72,0.019905779,,,,,,,,,,,,,,,,,,,,,,,,,1,49,677.4353076
tree-sitter,35.63888889,27,0.048128342,14,0.012628882,,,,,,,,,,,,,,,,,,,,,,,,,0,14,1575.331328
ts-node,10.44444444,423,0.000657297,113,0.050241546,,,,,,,,,,,,,,,,,,,,,,,,,1,6,1036.72786
PyMySQL,9.611111111,85,0.006206645,30,0.03073322,,,,,,,,,,,,,,,,,,,,,,,,,1,32,513.9626249
linaria,14.11111111,154,0.00080775,28,0.009317907,,,,,,,,,,,,,,,,,,,,,,,,,0,6,1518.989525
dompdf,8.333333333,222,0.002972246,104,0.007786571,,,,,,,,,,,,,,,,,,,,,,,,,0,35,663.6366005
oauth2_proxy,6.083333333,58,0.010422282,28,0.02021357,,,,,,,,,,,,,,,,,,,,,,,,,0,37,959.9444627
popmotion,48.77777778,46,0.034690799,33,0.046498599,,,,,,,,,,,,,,,,,,,,,,,,,0,9,1044.049169
node-fs-extra,17.25,126,0.006331658,53,0.021357833,,,,,,,,,,,,,,,,,,,,,,,,,0,37,891.5077789
choco,64.55555556,381,0.001099478,128,0.0056667,,,,,,,,,,,,,,,,,,,,,,,,,0,18,1156.409913
watchtower,3.972222222,199,0.0015762,38,0.010619002,,,,,,,,,,,,,,,,,,,,,,,,,0,14,1092.483533
compromise,45.75,100,0.005286809,44,0.036444444,,,,,,,,,,,,,,,,,,,,,,,,,0,50,844.0669636
goaccess,47.55555556,240,0.003386196,123,0.019318428,,,,,,,,,,,,,,,,,,,,,,,,,1,34,766.0266217
loadable-components,10.91666667,288,0.000967722,60,0.023889894,,,,,,,,,,,,,,,,,,,,,,,,,1,10,1878.828673
react-slingshot,18.88888889,290,0.000724882,54,0.024582247,,,,,,,,,,,,,,,,,,,,,,,,,0,57,1134.429798
annoy,8.861111111,48,0.012257406,17,0.010355186,,,,,,,,,,,,,,,,,,,,,,,,,0,26,709.900952
sigma.js,14.83333333,204,0.001577897,51,0.080909572,,,,,,,,,,,,,,,,,,,,,,,,,0,48,680.8894039
np,4.305555556,128,0.002797631,35,0.010625426,,,,,,,,,,,,,,,,,,,,,,,,,1,6,1258.356403
sentencepiece,14.38888889,272,0.001074606,78,0.016739421,,,,,,,,,,,,,,,,,,,,,,,,,0,22,1703.585913
FLEX,11.88888889,76,0.007179972,28,0.008479129,,,,,,,,,,,,,,,,,,,,,,,,,1,42,1230.448255
xbar,16.66666667,153,0.001087304,29,0.096866097,,,,,,,,,,,,,,,,,,,,,,,,,1,64,923.6977298
es6-promise,8.055555556,139,0.001715986,34,0.012716659,,,,,,,,,,,,,,,,,,,,,,,,,0,32,1469.142049
twirp,12.83333333,91,0.002028986,20,0.073260073,,,,,,,,,,,,,,,,,,,,,,,,,0,44,2199.309313
oh-my-posh2,4.027777778,156,0.003697121,32,0.025531699,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1901.423754
peerflix,13.19444444,102,0.003873173,27,0.008259491,,,,,,,,,,,,,,,,,,,,,,,,,1,52,708.5742923
javacv,5.722222222,382,0.0010738,149,0.045665635,,,,,,,,,,,,,,,,,,,,,,,,,0,26,773.5851931
